-3,-5,juQ67x59ftgV+HDVHp/tCRjRkc4=,aVtEh+MUeqPXdXefdi35L4S9TWU=
-3,-4,juQ67x59ftgV+HDVHp/tCRjRkc4=,SWOF6+6zgf3JYb1/W3U7zVrHPIQ=
-2,-5,juQ67x59ftgV+HDVHp/tCRjRkc4=,R7sVt0fPe0+L2XYFAMwWpW1mM08=
-2,-4,juQ67x59ftgV+HDVHp/tCRjRkc4=,JAN9g+hb8/Z6rwct0rA2irtq+cI=
-5,-3,2u/UdNgPwePO/eW7iA2KzckWz2Y=,50QLspJSHjvGedSBn+dUhVNM2A8=
-4,-3,juQ67x59ftgV+HDVHp/tCRjRkc4=,SWOF6+6zgf3JYb1/W3U7zVrHPIQ=
-5,-2,RvQImEQQTJiNRz/s2guotSRSyxc=,U0tFAbioqn9LIeTMGc6vXHL3PcU=
-3,-3,juQ67x59ftgV+HDVHp/tCRjRkc4=,SWOF6+6zgf3JYb1/W3U7zVrHPIQ=
-4,-2,juQ67x59ftgV+HDVHp/tCRjRkc4=,S9J/OYv9DI9OAnNy6U23NWFjgpA=
-2,-3,juQ67x59ftgV+HDVHp/tCRjRkc4=,JAN9g+hb8/Z6rwct0rA2irtq+cI=
-2,-2,juQ67x59ftgV+HDVHp/tCRjRkc4=,Y9aAPdx1QCYWFk7EueywenK/1AY=
-3,-2,juQ67x59ftgV+HDVHp/tCRjRkc4=,S9J/OYv9DI9OAnNy6U23NWFjgpA=
-1,-5,juQ67x59ftgV+HDVHp/tCRjRkc4=,R7sVt0fPe0+L2XYFAMwWpW1mM08=
-1,-4,juQ67x59ftgV+HDVHp/tCRjRkc4=,JAN9g+hb8/Z6rwct0rA2irtq+cI=
-3,-6,NgayqIhlNdJrtwXAruOionolE9k=,aVtEh+MUeqPXdXefdi35L4S9TWU=
-2,-7,NgayqIhlNdJrtwXAruOionolE9k=,hrGNJIroQadqZtELRBhX8W2kX8Y=
-4,-4,juQ67x59ftgV+HDVHp/tCRjRkc4=,SWOF6+6zgf3JYb1/W3U7zVrHPIQ=
-5,-4,hTcX7WiPVOMy3IwMykjkwskuKtI=,50QLspJSHjvGedSBn+dUhVNM2A8=
-4,-5,juQ67x59ftgV+HDVHp/tCRjRkc4=,aVtEh+MUeqPXdXefdi35L4S9TWU=
-2,-6,NgayqIhlNdJrtwXAruOionolE9k=,R7sVt0fPe0+L2XYFAMwWpW1mM08=
-6,-3,hTcX7WiPVOMy3IwMykjkwskuKtI=,50QLspJSHjvGedSBn+dUhVNM2A8=
-7,-2,hTcX7WiPVOMy3IwMykjkwskuKtI=,Tajb1ZZFfXP3sZczX9PN6cF8rmE=
-6,-2,RvQImEQQTJiNRz/s2guotSRSyxc=,U0tFAbioqn9LIeTMGc6vXHL3PcU=
-2,-8,NgayqIhlNdJrtwXAruOionolE9k=,hrGNJIroQadqZtELRBhX8W2kX8Y=
-1,-7,juQ67x59ftgV+HDVHp/tCRjRkc4=,hrGNJIroQadqZtELRBhX8W2kX8Y=
-1,-8,juQ67x59ftgV+HDVHp/tCRjRkc4=,hrGNJIroQadqZtELRBhX8W2kX8Y=
-1,-6,juQ67x59ftgV+HDVHp/tCRjRkc4=,R7sVt0fPe0+L2XYFAMwWpW1mM08=
-4,-6,juQ67x59ftgV+HDVHp/tCRjRkc4=,aVtEh+MUeqPXdXefdi35L4S9TWU=
-6,-4,hTcX7WiPVOMy3IwMykjkwskuKtI=,50QLspJSHjvGedSBn+dUhVNM2A8=
-8,-2,hTcX7WiPVOMy3IwMykjkwskuKtI=,Tajb1ZZFfXP3sZczX9PN6cF8rmE=
-8,-1,hTcX7WiPVOMy3IwMykjkwskuKtI=,Tajb1ZZFfXP3sZczX9PN6cF8rmE=
-3,-1,juQ67x59ftgV+HDVHp/tCRjRkc4=,S9J/OYv9DI9OAnNy6U23NWFjgpA=
-7,-1,hTcX7WiPVOMy3IwMykjkwskuKtI=,Tajb1ZZFfXP3sZczX9PN6cF8rmE=
-2,-1,juQ67x59ftgV+HDVHp/tCRjRkc4=,Y9aAPdx1QCYWFk7EueywenK/1AY=
-6,-1,RvQImEQQTJiNRz/s2guotSRSyxc=,U0tFAbioqn9LIeTMGc6vXHL3PcU=
-5,-1,RvQImEQQTJiNRz/s2guotSRSyxc=,U0tFAbioqn9LIeTMGc6vXHL3PcU=
-4,-1,juQ67x59ftgV+HDVHp/tCRjRkc4=,S9J/OYv9DI9OAnNy6U23NWFjgpA=
-1,-3,juQ67x59ftgV+HDVHp/tCRjRkc4=,JAN9g+hb8/Z6rwct0rA2irtq+cI=
-1,-1,juQ67x59ftgV+HDVHp/tCRjRkc4=,Y9aAPdx1QCYWFk7EueywenK/1AY=
-1,-2,juQ67x59ftgV+HDVHp/tCRjRkc4=,Y9aAPdx1QCYWFk7EueywenK/1AY=
-2,-9,NgayqIhlNdJrtwXAruOionolE9k=,93ZyM9gAcHkyO2gJIO8BnYvTnu0=
-1,-10,juQ67x59ftgV+HDVHp/tCRjRkc4=,93ZyM9gAcHkyO2gJIO8BnYvTnu0=
-2,-10,juQ67x59ftgV+HDVHp/tCRjRkc4=,93ZyM9gAcHkyO2gJIO8BnYvTnu0=
-1,-9,juQ67x59ftgV+HDVHp/tCRjRkc4=,93ZyM9gAcHkyO2gJIO8BnYvTnu0=
-3,-13,juQ67x59ftgV+HDVHp/tCRjRkc4=,JF5KZOIh9gnZmI2IbINlLNHNgZQ=
-2,-13,juQ67x59ftgV+HDVHp/tCRjRkc4=,GbjB9AdyYzBIPsEDwIXnAjUWKc8=
-3,-12,juQ67x59ftgV+HDVHp/tCRjRkc4=,yGcNgkOUF1+xIr2B1I9sKkNC0T0=
-2,-12,juQ67x59ftgV+HDVHp/tCRjRkc4=,+OaSOea5FDV1tCu+jdmPD/a5eGk=
-3,-10,juQ67x59ftgV+HDVHp/tCRjRkc4=,UwcUiejU1kopEJigMiXZRLKOUC0=
-2,-11,juQ67x59ftgV+HDVHp/tCRjRkc4=,+OaSOea5FDV1tCu+jdmPD/a5eGk=
-3,-11,juQ67x59ftgV+HDVHp/tCRjRkc4=,yGcNgkOUF1+xIr2B1I9sKkNC0T0=
-3,-8,NgayqIhlNdJrtwXAruOionolE9k=,cbw6EYjNtt6m0bseG4wby0g9ej0=
-3,-9,NgayqIhlNdJrtwXAruOionolE9k=,UwcUiejU1kopEJigMiXZRLKOUC0=
-3,-7,NgayqIhlNdJrtwXAruOionolE9k=,cbw6EYjNtt6m0bseG4wby0g9ej0=
-2,-15,KTCUaxNbVVee9nfqMx0ZKZjXQnY=,Dux8b7EG9wnCylA4Il93XwD0EJY=
-3,-14,juQ67x59ftgV+HDVHp/tCRjRkc4=,JF5KZOIh9gnZmI2IbINlLNHNgZQ=
-2,-14,juQ67x59ftgV+HDVHp/tCRjRkc4=,GbjB9AdyYzBIPsEDwIXnAjUWKc8=
-4,-7,juQ67x59ftgV+HDVHp/tCRjRkc4=,cbw6EYjNtt6m0bseG4wby0g9ej0=
-2,-16,4mvkMVxzXGEImtru6IoKgj+aJ/U=,Dux8b7EG9wnCylA4Il93XwD0EJY=
-4,-8,juQ67x59ftgV+HDVHp/tCRjRkc4=,cbw6EYjNtt6m0bseG4wby0g9ej0=
-4,-9,juQ67x59ftgV+HDVHp/tCRjRkc4=,UwcUiejU1kopEJigMiXZRLKOUC0=
-4,-11,juQ67x59ftgV+HDVHp/tCRjRkc4=,yGcNgkOUF1+xIr2B1I9sKkNC0T0=
-4,-12,juQ67x59ftgV+HDVHp/tCRjRkc4=,yGcNgkOUF1+xIr2B1I9sKkNC0T0=
-4,-14,juQ67x59ftgV+HDVHp/tCRjRkc4=,JF5KZOIh9gnZmI2IbINlLNHNgZQ=
-4,-13,juQ67x59ftgV+HDVHp/tCRjRkc4=,JF5KZOIh9gnZmI2IbINlLNHNgZQ=
-4,-10,juQ67x59ftgV+HDVHp/tCRjRkc4=,UwcUiejU1kopEJigMiXZRLKOUC0=
